id,actorid_id,movieid_id
21896,nm0000279,tt1078912
21897,nm0000245,tt1078912
21907,nm0068338,tt2294629
21908,nm0579953,tt2294629
21909,nm2676147,tt2294629
21910,nm1265802,tt2294629
21911,nm2949014,tt2294629
21915,nm1165110,tt1981115
21916,nm0000204,tt1981115
21917,nm1089991,tt1981115
21918,nm0000164,tt1981115
21919,nm0001172,tt1981115
21945,nm0941777,tt1646987
21946,nm0000553,tt1646987
21947,nm0000146,tt1646987
21948,nm1183149,tt1646987
21949,nm1527905,tt1646987
21950,nm0000136,tt1077368
21951,nm0000201,tt1077368
21952,nm0000307,tt1077368
21953,nm1200692,tt1077368
21954,nm0355097,tt1077368
21969,nm0085312,tt1302011
21970,nm0001401,tt1302011
21971,nm0000163,tt1302011
21972,nm0000198,tt1302011
21973,nm0000329,tt1302011
21984,nm1475594,tt2334879
21985,nm0004937,tt2334879
21986,nm0350454,tt2334879
21987,nm0164809,tt2334879
21988,nm0420955,tt2334879
21989,nm0001293,tt1305591
21990,nm0283945,tt1305591
21991,nm0000349,tt1305591
21992,nm0363699,tt1305591
21993,nm0827565,tt1305591
22012,nm0001774,tt1277953
22013,nm0001674,tt1277953
22014,nm0001710,tt1277953
22015,nm0000586,tt1277953
22016,nm0056187,tt1277953
22044,nm0000129,tt1229238
22045,nm1745736,tt1229238
22046,nm0670408,tt1229238
22047,nm0719637,tt1229238
22048,nm0638824,tt1229238
22049,nm1517976,tt1446192
22050,nm0000285,tt1446192
22051,nm0000179,tt1446192
22052,nm0279545,tt1446192
22053,nm0413168,tt1446192
22063,nm0000288,tt1528100
22064,nm0249291,tt1528100
22065,nm0001806,tt1528100
22066,nm0666739,tt1528100
22067,nm0578853,tt1528100
22078,nm0059431,tt1646971
22079,nm0000949,tt1646971
22080,nm0124930,tt1646971
22081,nm0272401,tt1646971
22082,nm1065229,tt1646971
22107,nm0425005,tt1583421
22108,nm0000596,tt1583421
22109,nm0496932,tt1583421
22110,nm1392388,tt1583421
22111,nm0829032,tt1583421
22133,nm0829576,tt1673434
22134,nm1500155,tt1673434
22135,nm1210124,tt1673434
22136,nm0004906,tt1673434
22137,nm0714147,tt1673434
22138,nm0016141,tt1402488
22139,nm0101603,tt1402488
22140,nm0305261,tt1402488
22141,nm1146844,tt1402488
22142,nm0005527,tt1402488
22163,nm0005351,tt1860353
22164,nm0316079,tt1860353
22165,nm0671567,tt1860353
22166,nm0000168,tt1860353
22167,nm0350079,tt1860353
22168,nm0000136,tt1192628
22169,nm0279545,tt1192628
22170,nm1113550,tt1192628
22171,nm0000885,tt1192628
22172,nm0000547,tt1192628
22173,nm0569891,tt1911658
22174,nm1844237,tt1911658
22175,nm0970447,tt1911658
22176,nm0000518,tt1911658
22192,nm2225369,tt1951264
22193,nm2955013,tt1951264
22194,nm4425051,tt1951264
22195,nm1193262,tt1951264
22196,nm0480808,tt1951264
22197,nm1433588,tt2224026
22198,nm1982597,tt2224026
22199,nm0000188,tt2224026
22200,nm0000182,tt2224026
22201,nm2804503,tt2224026
22222,nm0000128,tt1959490
22223,nm0000124,tt1959490
22224,nm0935653,tt1959490
22225,nm0000164,tt1959490
22226,nm0914612,tt1959490
22240,nm1535523,tt1815862
22241,nm0000226,tt1815862
22242,nm0645683,tt1815862
22243,nm2368789,tt1815862
22244,nm0607703,tt1815862
22245,nm0001774,tt2692250
22246,nm0000245,tt2692250
22247,nm0005562,tt2692250
22248,nm0176869,tt2692250
22249,nm0315041,tt2692250
22250,nm0002071,tt1001526
22251,nm0000093,tt1001526
22252,nm0275486,tt1001526
22253,nm1706767,tt1001526
22254,nm0189144,tt1001526
22270,nm2225369,tt1951265
22271,nm1242688,tt1951265
22272,nm2955013,tt1951265
22273,nm0000437,tt1951265
22274,nm0000661,tt1951265
22280,nm1545471,tt2357291
22281,nm0113198,tt2357291
22282,nm0155693,tt2357291
22283,nm1318596,tt2357291
22284,nm0175828,tt2357291
22290,nm0004874,tt1596343
22291,nm0908094,tt1596343
22292,nm0108287,tt1596343
22293,nm0879085,tt1596343
22294,nm0524839,tt1596343
22295,nm0000375,tt1515091
22296,nm0000179,tt1515091
22297,nm0636426,tt1515091
22298,nm1046097,tt1515091
22299,nm0364813,tt1515091
22310,nm0719637,tt1194173
22311,nm0001277,tt1194173
22312,nm0005078,tt1194173
22313,nm0001570,tt1194173
22314,nm0614220,tt1194173
22363,nm0636426,tt1446714
22364,nm1055413,tt1446714
22365,nm0000234,tt1446714
22366,nm0252961,tt1446714
22367,nm0001602,tt1446714
