"movieid","title"
"tt3691740","The BFG"
"tt1663202","The Revenant"
"tt1860353","Turbo"
"tt1192628","Rango"
"tt1911658","Penguins of Madagascar"
"tt0440963","The Bourne Ultimatum"
"tt0441773","Kung Fu Panda"
"tt0478970","Ant-Man"
"tt1951264","The Hunger Games: Catching Fire"
"tt2224026","Home"
"tt0407304","War of the Worlds"
"tt0172156","Bad Boys II"
"tt0448694","Puss in Boots"
"tt0944835","Salt"
"tt1959490","Noah"
"tt0983193","The Adventures of Tintin"
"tt0304141","Harry Potter and the Prisoner of Azkaban"
"tt0455824","Australia"
"tt1815862","After Earth"
"tt2692250","Night at the Museum: Secret of the Tomb"
"tt1001526","Megamind"
"tt0241527","Harry Potter and the Sorcerer's Stone"
"tt0790736","R.I.P.D."
"tt0325980","Pirates of the Caribbean: The Curse of the Black Pearl"
"tt1951265","The Hunger Games: Mockingjay - Part 1"
"tt0382625","The Da Vinci Code"
"tt2357291","Rio 2"
"tt0290334","X2"
"tt1596343","Fast Five"
"tt1515091","Sherlock Holmes: A Game of Shadows"
"tt0800320","Clash of the Titans"
"tt0100802","Total Recall"
"tt1194173","The Bourne Legacy"
"tt0118688","Batman & Robin"
"tt0170016","How the Grinch Stole Christmas"
"tt0319262","The Day After Tomorrow"
"tt0120755","Mission: Impossible II"
"tt0177971","The Perfect Storm"
"tt0486576","4: Rise of the Silver Surfer"
"tt0454876","Life of Pi"
"tt0259324","Ghost Rider"
"tt4196776","Jason Bourne"
"tt0305357","Charlie's Angels: Full Throttle"
"tt1446714","Prometheus"
"tt0243585","Stuart Little 2"
"tt1535108","Elysium"
"tt0296572","The Chronicles of Riddick"
"tt1234721","RoboCop"
"tt0811080","Speed Racer"
"tt1341188","How Do You Know"
"tt1013743","Knight and Day"
"tt1483013","Oblivion"
"tt0121766","Star Wars: Episode III - Revenge of the Sith"
"tt0121765","Star Wars: Episode II - Attack of the Clones"
"tt0198781","Monsters, Inc."
"tt1430132","The Wolverine"
"tt0120915","Star Wars: Episode I - The Phantom Menace"
"tt0481499","The Croods"
"tt0463872","Astérix aux jeux olympiques"
"tt0245562","Windtalkers"
"tt2381991","The Huntsman: Winter's War"
"tt1291150","Teenage Mutant Ninja Turtles"
"tt1454468","Gravity"
"tt0118928","Dante's Peak"
"tt3949660","Teenage Mutant Ninja Turtles: Out of the Shadows"
"tt1502712","Fantastic Four"
"tt0477347","Night at the Museum"
"tt2126355","San Andreas"
"tt0187393","The Patriot"
"tt0349903","Ocean's Twelve"
"tt0356910","Mr. & Mrs. Smith"
"tt2908446","Insurgent"
"tt0338751","The Aviator"
"tt1320261","Gulliver's Travels"
"tt0990407","The Green Hornet"
"tt0084967","The A-Team"
"tt1253863","300: Rise of an Empire"
"tt0472181","The Smurfs"
"tt0299172","Home on the Range"
"tt3410834","Allegiant"
"tt0433035","Real Steel"
"tt2017020","The Smurfs 2"
"tt0120179","Speed 2: Cruise Control"
"tt1731141","Ender's Game"
"tt0337978","Live Free or Die Hard"
"tt0120737","The Lord of the Rings: The Fellowship of the Ring"
"tt0327437","Around the World in 80 Days"
"tt0248667","Ali"
"tt0312528","The Cat in the Hat"
"tt0343818","I, Robot"
"tt0320661","Kingdom of Heaven"
"tt0164912","Stuart Little"
"tt0780521","The Princess and the Frog"
"tt3659388","The Martian"
"tt0399201","The Island"
"tt0172495","Gladiator"
"tt0181689","Minority Report"
"tt0295297","Harry Potter and the Chamber of Secrets"
"tt0381061","Casino Royale"
"tt0133152","Planet of the Apes"
"tt0103064","Terminator 2: Judgment Day"
"tt1152836","Public Enemies"
"tt0765429","American Gangster"
"tt0111503","True Lies"
"tt1111422","The Taking of Pelham 123"
"tt0970866","Little Fockers"
"tt1386588","The Other Guys"
"tt0116213","Eraser"
"tt1853728","Django Unchained"
"tt0116583","The Hunchback of Notre Dame"
"tt0120917","The Emperor's New Groove"
"tt1764651","The Expendables 2"
"tt0368891","National Treasure"
"tt0449010","Eragon"
"tt0386117","Where the Wild Things Are"
"tt0848537","Epic"
"tt1243957","The Tourist"
"tt0146675","End of Days"
"tt0450259","Blood Diamond"
"tt0993846","The Wolf of Wall Street"
"tt0112462","Batman Forever"
"tt0120201","Starship Troopers"
"tt1371111","Cloud Atlas"
"tt1219342","Legend of the Guardians: The Owls of Ga'Hoole"
"tt0327554","Catwoman"
"tt1267297","Hercules"
"tt0133240","Treasure Planet"
"tt0457400","Land of the Lost"
"tt2333784","The Expendables 3"
"tt2058673","Point Break"
"tt0362165","Son of the Mask"
"tt1390411","In the Heart of the Sea"
"tt0180052","The Adventures of Pluto Nash"
"tt0947810","Green Zone"
"tt2452042","The Peanuts Movie"
"tt0120176","The Spanish Prisoner"
"tt0209163","The Mummy Returns"
"tt0217505","Gangs of New York"
"tt1410063","Jin ling shi san chai"
"tt0423294","Surf's Up"
"tt0327162","The Stepford Wives"
"tt0265086","Black Hawk Down"
"tt1790886","The Campaign"
"tt0119116","The Fifth Element"
"tt1261945","Sex and the City 2"
"tt0138749","The Road to El Dorado"
"tt1667889","Ice Age: Continental Drift"
"tt1661199","Cinderella"
"tt0380510","The Lovely Bones"
"tt0266543","Finding Nemo"
"tt0167260","The Lord of the Rings: The Return of the King"
"tt0167261","The Lord of the Rings: The Two Towers"
"tt1121096","Seventh Son"
"tt0146316","Lara Croft: Tomb Raider"
"tt2209764","Transcendence"
"tt0163025","Jurassic Park III"
"tt1318514","Rise of the Planet of the Apes"
"tt0416236","The Spiderwick Chronicles"
"tt1606378","A Good Day to Die Hard"
"tt0318974","The Alamo"
"tt0317705","The Incredibles"
"tt0112760","Cutthroat Island"
"tt0814255","Percy Jackson & the Olympians: The Lightning Thief"
"tt0119654","Men in Black"
"tt0120363","Toy Story 2"
"tt0477080","Unstoppable"
"tt0266915","Rush Hour 2"
"tt0161081","What Lies Beneath"
"tt0844471","Cloudy with a Chance of Meatballs"
"tt1080016","Ice Age: Dawn of the Dinosaurs"
"tt0359950","The Secret Life of Walter Mitty"
"tt0160127","Charlie's Angels"
"tt0407887","The Departed"
"tt0120762","Mulan"
"tt0942385","Tropic Thunder"
"tt1568346","The Girl with the Dragon Tattoo"
"tt0112864","Die Hard: With a Vengeance"
"tt0988045","Sherlock Holmes"
"tt2638144","Ben-Hur"
"tt0230011","Atlantis: The Lost Empire"
"tt2974918","Alvin and the Chipmunks: The Road Chip"
"tt0985699","Valkyrie"
"tt0960144","You Don't Mess with the Zohan"
"tt2120120","Pixels"
"tt0212720","Artificial Intelligence: AI"
"tt0338094","The Haunted Mansion"
"tt0118884","Contact"
"tt0164052","Hollow Man"
"tt0373926","The Interpreter"
"tt1854564","Percy Jackson: Sea of Monsters"
"tt0325703","Lara Croft Tomb Raider: The Cradle of Life"
"tt3110958","Now You See Me 2"
"tt1436562","Rio"
"tt0182789","Bicentennial Man"
"tt0120461","Volcano"
"tt0118972","The Devil's Own"
"tt0267626","K-19: The Widowmaker"
"tt0082198","Conan the Barbarian"
"tt0352248","Cinderella Man"
"tt1041804","The Nutcracker in 3D"
"tt0329575","Seabiscuit"
"tt0117998","Twister"
"tt0162222","Cast Away"
"tt0366548","Happy Feet"
"tt0372183","The Bourne Supremacy"
"tt0118571","Air Force One"
"tt0240772","Ocean's Eleven"
"tt1509767","The Three Musketeers"
"tt0837562","Hotel Transylvania"
"tt0461770","Enchanted"
"tt2243973","Hannibal"
"tt1599348","Safe House"
"tt0471042","Tower Heist"
"tt0457939","The Holiday"
"tt0120660","Enemy of the State"
"tt1230414","It's Complicated"
"tt0496806","Ocean's Thirteen"
"tt0400717","Open Season"
"tt1840309","Divergent"
"tt0215750","Enemy at the Gates"
"tt0327850","The Rundown"
"tt0107362","Last Action Hero"
"tt0397535","Memoirs of a Geisha"
"tt0463985","The Fast and the Furious: Tokyo Drift"
"tt1430607","Arthur Christmas"
"tt0119643","Meet Joe Black"
"tt0233469","Collateral Damage"
"tt0078754","All That Jazz"
"tt1667353","Mirror Mirror"
"tt0446029","Scott Pilgrim vs. the World"
"tt0298814","The Core"
"tt0144528","Nutty Professor II: The Klumps"
"tt0267913","Scooby-Doo"
"tt1343727","Dredd"
"tt0389860","Click"
"tt0083767","Creepshow"
"tt1287468","Cats & Dogs: The Revenge of Kitty Galore"
"tt0489099","Jumper"
"tt0411477","Hellboy II: The Golden Army"
"tt0443706","Zodiac"
"tt0216216","The 6th Day"
"tt0315327","Bruce Almighty"
"tt1320253","The Expendables"
"tt0117060","Mission: Impossible"
"tt1392170","The Hunger Games"
"tt1411697","The Hangover Part II"
"tt0103776","Batman Returns"
"tt0327084","Over the Hedge"
"tt0275847","Lilo & Stitch"
"tt0413895","Charlotte's Web"
"tt1821694","RED 2"
"tt0398165","The Longest Yard"
"tt1615918","Alvin and the Chipmunks: Chipwrecked"
"tt2191701","Grown Ups 2"
"tt0425061","Get Smart"
"tt0337741","Something's Gotta Give"
"tt1130884","Shutter Island"
"tt0369436","Four Christmases"
"tt0358082","Robots"
"tt0119094","Face/Off"
"tt0960731","Bedtime Stories"
"tt0257044","Road to Perdition"
"tt1564367","Just Go with It"
"tt3322312","Daredevil"
"tt0118880","Con Air"
"tt1059786","Eagle Eye"
"tt0159365","Cold Mountain"
"tt1037705","The Book of Eli"
"tt0119137","Flubber"
"tt0171363","The Haunting"
"tt0117705","Space Jam"
"tt0383216","The Pink Panther"
"tt0970416","The Day the Earth Stood Still"
"tt0118883","Conspiracy Theory"
"tt2713180","Fury"
"tt1302067","Yogi Bear"
"tt0166813","Spirit: Stallion of the Cimarron"
"tt1222817","Zookeeper"
"tt0120738","Lost in Space"
"tt0368008","The Manchurian Candidate"
"tt0119033","Déjà Vu"
"tt2510894","Hotel Transylvania 2"
"tt0057733","Bewitched"
"tt0120910","Fantasia 2000"
"tt0268695","The Time Machine"
"tt0120751","Mighty Joe Young"
